---------- processing video for epoch 6 ----------
performing inference...
pred: 8.47 deg. took: 62.45 ms | cam=2.06 prep=3.11 pred=57.27 frequency(45)=1200002000
 
pred: 18.34 deg. took: 62.30 ms | cam=2.12 prep=3.02 pred=57.16 frequency(45)=1200000000
 
pred: 23.69 deg. took: 62.72 ms | cam=2.00 prep=3.01 pred=57.72 frequency(45)=1200000000
 
pred: 28.61 deg. took: 62.22 ms | cam=2.00 prep=3.06 pred=57.17 frequency(45)=1200000000
 
pred: 28.79 deg. took: 62.09 ms | cam=2.01 prep=3.01 pred=57.07 frequency(45)=1200002000
 
pred: 26.96 deg. took: 62.20 ms | cam=1.98 prep=3.16 pred=57.07 frequency(45)=1200000000
 
pred: 26.96 deg. took: 62.24 ms | cam=1.99 prep=3.12 pred=57.14 frequency(45)=1200002000
 
pred: 26.95 deg. took: 62.33 ms | cam=2.07 prep=3.07 pred=57.19 frequency(45)=1200002000
 
pred: 29.03 deg. took: 61.98 ms | cam=2.16 prep=3.01 pred=56.80 frequency(45)=1200002000
 
pred: 27.84 deg. took: 62.32 ms | cam=2.01 prep=3.00 pred=57.30 frequency(45)=1200000000
 
pred: 25.60 deg. took: 62.46 ms | cam=1.96 prep=3.06 pred=57.44 frequency(45)=1200000000
 
pred: 21.32 deg. took: 62.54 ms | cam=1.95 prep=3.02 pred=57.58 frequency(45)=1200000000
 
pred: 12.53 deg. took: 62.73 ms | cam=2.00 prep=3.15 pred=57.59 frequency(45)=1200002000
 
pred: 11.41 deg. took: 62.30 ms | cam=2.02 prep=3.10 pred=57.18 frequency(45)=1200000000
 
pred: 14.53 deg. took: 62.57 ms | cam=2.11 prep=3.04 pred=57.43 frequency(45)=1200000000
 
pred: 16.96 deg. took: 62.34 ms | cam=2.09 prep=3.01 pred=57.24 frequency(45)=1200000000
 
pred: 18.09 deg. took: 62.28 ms | cam=1.97 prep=3.04 pred=57.26 frequency(45)=1200000000
 
pred: 7.05 deg. took: 62.30 ms | cam=2.02 prep=3.02 pred=57.25 frequency(45)=1200002000
 
